l,G_z,ruin,round,type,f_1
0.1,0.5,0.5,457.39,final,914.78
0.1,1,0.346,600.86,final,1736.59
0.1,1.5,0.279,659.59,final,2364.12
0.1,2,0.261,261.69,final,1002.64
0.1,2.5,0.237,270.51,final,1141.39
0.1,3,0.205,275.05,final,1341.71
0.1,3.5,0.181,287.54,final,1588.62
0.1,4,0.16,298.78,final,1867.38
0.1,4.5,0.142,301.6,final,2123.94
0.1,5,0.131,305.01,final,2328.32
0.1,5.5,0.113,301.3,final,2666.37
0.1,6,0.106,307.2,final,2898.11
0.1,6.5,0.096,297.7,final,3101.04
0.1,7,0.094,298.59,final,3176.49
0.1,7.5,0.085,296.6,final,3489.41
0.1,8,0.079,289.14,final,3660
0.1,8.5,0.073,291.41,final,3991.92
0.1,9,0.071,281.72,final,3967.89
0.2,0.5,0.459,143.17,final,311.92
0.2,1,0.339,175.38,final,517.35
0.2,1.5,0.274,193.87,final,707.55
0.2,2,0.205,70.41,final,343.46
0.2,2.5,0.191,73.03,final,382.36
0.2,3,0.172,74.12,final,430.93
0.2,3.5,0.16,75.35,final,470.94
0.2,4,0.15,75.66,final,504.4
0.2,4.5,0.146,77.95,final,533.9
0.2,5,0.135,77.29,final,572.52
0.2,5.5,0.123,80.85,final,657.32
0.2,6,0.113,79.99,final,707.88
0.2,6.5,0.112,80.06,final,714.82
0.2,7,0.1,82.54,final,825.4
0.2,7.5,0.094,85.44,final,908.94
0.2,8,0.09,82.05,final,911.67
0.2,8.5,0.083,82.4,final,992.77
0.2,9,0.079,86.17,final,1090.76
0.3,0.5,0.385,75.86,final,197.04
0.3,1,0.296,88,final,297.3
0.3,1.5,0.18,37.01,final,205.61
0.3,2,0.164,38.76,final,236.34
0.3,2.5,0.149,39.12,final,262.55
0.3,3,0.14,39.87,final,284.79
0.3,3.5,0.132,40.43,final,306.29
0.3,4,0.124,39.86,final,321.45
0.3,4.5,0.127,40.15,final,316.14
0.3,5,0.118,41.25,final,349.58
0.3,5.5,0.111,40.36,final,363.6
0.3,6,0.108,40.73,final,377.13
0.3,6.5,0.1,41.51,final,415.1
0.3,7,0.1,42.05,final,420.5
0.3,7.5,0.088,42.72,final,485.45
0.3,8,0.086,43.06,final,500.7
0.3,8.5,0.08,42.24,final,528
0.3,9,0.084,42.16,final,501.9
0.4,0.5,0.356,45.77,final,128.57
0.4,1,0.148,24.95,final,168.58
0.4,1.5,0.14,24.67,final,176.21
0.4,2,0.131,24.91,final,190.15
0.4,2.5,0.119,26.14,final,219.66
0.4,3,0.114,25.53,final,223.95
0.4,3.5,0.114,25.53,final,223.95
0.4,4,0.104,26,final,250
0.4,4.5,0.1,26.52,final,265.2
0.4,5,0.095,26.62,final,280.21
0.4,5.5,0.091,26.22,final,288.13
0.4,6,0.085,26.35,final,310
0.4,6.5,0.088,26.4,final,300
0.4,7,0.086,26.52,final,308.37
0.4,7.5,0.078,26.69,final,342.18
0.4,8,0.081,26.65,final,329.01
0.4,8.5,0.074,27.55,final,372.3
0.4,9,0.072,27.57,final,382.92
0.5,0.5,0.25,33.85,final,135.4
0.5,1,0.122,17.46,final,143.11
0.5,1.5,0.111,18.13,final,163.33
0.5,2,0.105,18.18,final,173.14
0.5,2.5,0.103,18.33,final,177.96
0.5,3,0.099,17.92,final,181.01
0.5,3.5,0.09,18,final,200
0.5,4,0.084,18.56,final,220.95
0.5,4.5,0.082,18.66,final,227.56
0.5,5,0.082,18.62,final,227.07
0.5,5.5,0.086,18.71,final,217.56
0.5,6,0.074,19,final,256.76
0.5,6.5,0.072,19.08,final,265
0.5,7,0.072,18.49,final,256.81
0.5,7.5,0.074,18.58,final,251.08
0.5,8,0.072,18.52,final,257.22
0.5,8.5,0.057,19.33,final,339.12
0.5,9,0.054,19.37,final,358.7
0.6,0.5,0.102,13.42,final,131.57
0.6,1,0.094,13.34,final,141.91
0.6,1.5,0.096,13.31,final,138.65
0.6,2,0.094,13.35,final,142.02
0.6,2.5,0.094,13.39,final,142.45
0.6,3,0.077,13.81,final,179.35
0.6,3.5,0.081,13.84,final,170.86
0.6,4,0.076,13.68,final,180
0.6,4.5,0.069,13.69,final,198.41
0.6,5,0.07,13.78,final,196.86
0.6,5.5,0.069,13.79,final,199.86
0.6,6,0.068,13.78,final,202.65
0.6,6.5,0.069,13.74,final,199.13
0.6,7,0.063,13.93,final,221.11
0.6,7.5,0.064,13.93,final,217.66
0.6,8,0.054,14.34,final,265.56
0.6,8.5,0.054,14.25,final,263.89
0.6,9,0.056,14.26,final,254.64
0.7,0.5,0.085,10.18,final,119.76
0.7,1,0.085,10.25,final,120.59
0.7,1.5,0.077,10.37,final,134.68
0.7,2,0.072,10.38,final,144.17
0.7,2.5,0.07,10.38,final,148.29
0.7,3,0.067,10.5,final,156.72
